,length_vas,length_oggm,area_vas,area_oggm,volume_vas,volume_oggm
1933,4349.5171566690915,5500.0,6652542.835389503,7244198.821253056,470858757.63563764,672688918.5875239
1934,4350.559585259307,5400.0,6659827.199891517,7255928.46467137,471665027.0373301,671995749.6417816
1935,4351.615546372034,5500.0,6666924.304658326,7263570.7747455835,472072372.6343579,672595599.6279095
1936,4352.8707045790115,5400.0,6675148.420066233,7274652.521924388,474591489.474813,673853733.627073
1937,4354.490637559277,5500.0,6685628.633535628,7290401.339028414,479142811.6365156,679858163.3931074
1938,4356.127082105467,5500.0,6695847.654090149,7297607.8522573905,479869891.4653092,681029342.407951
1939,4357.471442529083,5500.0,6703653.179985424,7300220.710563005,476867193.70759654,677133925.6760792
1940,4358.671551465134,5600.0,6710171.11008258,7306368.559343005,475412177.7420321,675844535.8055868
1941,4360.318492643073,5500.0,6719599.46469414,7352941.825810159,480769130.1339414,683813966.7893144
1942,4361.882521130629,5600.0,6728151.028042014,7332483.919692418,480384677.7407392,683633055.6109008
1943,4363.1200006125055,5500.0,6734136.249729921,7330449.074433362,476940285.6864444,677204575.8828096
1944,4364.025220747028,5600.0,6737607.331806025,7329079.722022525,473320023.91738075,672487451.0224984
1945,4364.48455189122,5700.0,6737877.368787132,7325820.579880279,468418509.6561439,665991531.1925449
1946,4364.982811663144,5600.0,6738438.749981217,7328936.5008970415,468906311.4753101,664860028.5433239
1947,4365.149102559974,5700.0,6736735.645490019,7324996.679935068,465334126.46066993,659613619.1031154
1948,4364.569221976006,5600.0,6729968.52987843,7311062.392343402,457173285.5201461,646201584.8748813
1949,4364.136240504075,5700.0,6724493.347791617,7316560.437638862,458722311.79691553,649731194.4619399
1950,4363.18489537246,5600.0,6715709.9891899545,7309780.780379938,453022132.1661499,642852552.0117811
1951,4361.934844014194,5700.0,6705230.901274614,7301242.270361335,449753686.10508275,636546298.1188052
1952,4360.65298822272,5600.0,6694973.002923623,7299104.605483178,449207224.3248998,633978508.2374178
1953,4359.008026327006,5700.0,6682644.966464402,7292605.780988921,445104811.04554766,626482339.1791928
1954,4357.214631508223,5600.0,6669795.298373415,7286900.268161595,443316458.7219641,622352684.0555507
1955,4355.49775222599,5700.0,6657992.427800686,7286498.95467468,443737100.24419993,625657095.36224
1956,4354.040630452955,5700.0,6648451.7900938345,7290188.738902089,445992417.0976965,629080439.5871794
1957,4352.578705303968,5700.0,6639241.595353172,7288039.649817593,445510182.9944975,626853964.0875405
1958,4351.046825500979,5700.0,6629893.770279025,7283432.266015789,444440443.74561447,624761800.1984837
1959,4349.107933492512,5700.0,6618079.077696294,7269530.951647268,439872855.403386,617733078.7920995
1960,4347.029219473374,5700.0,6605751.352410039,7263517.848552495,438167351.8260145,614661129.5399148
1961,4345.4185474564565,5700.0,6597116.431481992,7298315.234348554,442546077.64351207,622230654.0548226
1962,4344.0651717152305,5700.0,6590529.080198768,7268049.924568141,444674378.76899916,621652781.4843173
1963,4342.811072479126,5700.0,6584818.194636072,7268454.15553518,445326230.46892536,622467014.0649419
1964,4341.3740853991185,5700.0,6577994.7716792105,7258584.061713442,443084725.7838899,619059804.0507658
1965,4339.58574581711,5700.0,6568954.418575464,7246217.3117117705,439149776.44521,613351004.9617616
1966,4338.398033874606,5700.0,6564399.731874151,7282394.334757493,445114968.53705627,621311969.5163728
1967,4337.205637536598,5700.0,6559863.497926926,7244928.266618546,444617536.8622656,621027877.6224084
1968,4336.038010638775,5700.0,6555602.549066169,7240036.048249676,444611960.4584121,620194995.9236228
1969,4335.100064932188,5700.0,6553025.531444576,7239603.665685083,446765312.0552368,624849831.9426506
1970,4333.797095557815,5700.0,6547908.2659562435,7225493.782715361,442624663.2976256,620242011.4288992
1971,4332.3100804241385,5700.0,6541668.288712285,7211069.2980437465,440515711.19129544,615162976.7780478
1972,4330.547431229924,5700.0,6533696.77236426,7202562.894669786,437368427.2840982,610887541.0320363
1973,4328.687105062852,5700.0,6525304.668638952,7198456.356132591,436070388.56820494,609561052.4622138
1974,4326.443999324813,5600.0,6514515.5076517165,7184464.225772768,431753771.8486184,602754144.8239995
1975,4324.339559579694,5700.0,6505060.542755626,7183835.497106455,432848054.62056893,603370654.892595
1976,4322.283410627526,5600.0,6496193.086560234,7177658.783240071,432782009.2474038,601203780.2196902
1977,4320.0203090879095,5700.0,6486132.474016268,7172372.706986539,430183128.05869704,599298826.145848
1978,4318.042120292612,5600.0,6478357.303171212,7172103.346189652,432671580.56593376,603690351.9884548
1979,4316.279500420687,5700.0,6472223.159224081,7172490.961306877,434295713.1558418,607233582.9780452
1980,4314.518256736358,5600.0,6466188.062268489,7165914.430442242,433827515.7258578,607332416.0940771
1981,4313.0371679456075,5700.0,6462209.90820084,7166231.486214114,436324369.6225425,610058334.6792146
1982,4311.8138821040775,5600.0,6460008.7455799775,7163123.831401281,438577280.89779603,612137756.5247552
1983,4310.301568411242,5700.0,6455719.568448007,7148538.817039259,435204787.1354045,603708171.8241009
1984,4308.805180030548,5600.0,6451625.249174226,7138112.466805432,435139694.97142696,598595945.4922004
1985,4307.576522199974,5700.0,6449417.079260424,7140017.749848435,437576427.8662421,602102615.1713176
1986,4305.9375982448,5600.0,6444279.680666708,7124780.139591177,432939961.571263,595032926.2603593
1987,4303.913940171378,5700.0,6436617.543695068,7106283.063656237,428783524.8881151,588603760.485679
1988,4301.644718093837,5600.0,6427489.758081437,7087013.307571342,426013318.76262003,582432555.3876166
1989,4298.961605626921,5500.0,6415775.624903712,7071473.141043272,421464268.322516,576265589.789211
1990,4296.070371958349,5600.0,6403024.910693224,7061744.2505705515,419044307.54271454,573397033.1166127
