,RGIId
852,RGI60-11.00853
853,RGI60-11.00854
854,RGI60-11.00855
855,RGI60-11.00856
856,RGI60-11.00857
857,RGI60-11.00858
858,RGI60-11.00859
859,RGI60-11.00860
860,RGI60-11.00861
861,RGI60-11.00862
862,RGI60-11.00863
863,RGI60-11.00864
864,RGI60-11.00865
865,RGI60-11.00866
866,RGI60-11.00867
867,RGI60-11.00868
868,RGI60-11.00869
869,RGI60-11.00870
870,RGI60-11.00871
871,RGI60-11.00872
872,RGI60-11.00873
873,RGI60-11.00874
874,RGI60-11.00875
875,RGI60-11.00876
876,RGI60-11.00877
877,RGI60-11.00878
878,RGI60-11.00879
879,RGI60-11.00880
880,RGI60-11.00881
881,RGI60-11.00882
882,RGI60-11.00883
883,RGI60-11.00884
884,RGI60-11.00885
885,RGI60-11.00886
886,RGI60-11.00887
887,RGI60-11.00888
888,RGI60-11.00889
889,RGI60-11.00890
890,RGI60-11.00891
891,RGI60-11.00892
892,RGI60-11.00893
893,RGI60-11.00894
894,RGI60-11.00895
895,RGI60-11.00896
896,RGI60-11.00897
897,RGI60-11.00898
898,RGI60-11.00899
899,RGI60-11.00900
900,RGI60-11.00901
901,RGI60-11.00902
902,RGI60-11.00903
903,RGI60-11.00904
904,RGI60-11.00905
905,RGI60-11.00906
906,RGI60-11.00907
907,RGI60-11.00908
908,RGI60-11.00909
909,RGI60-11.00910
910,RGI60-11.00911
911,RGI60-11.00912
912,RGI60-11.00913
913,RGI60-11.00914
914,RGI60-11.00915
915,RGI60-11.00916
916,RGI60-11.00917
917,RGI60-11.00918
918,RGI60-11.00919
919,RGI60-11.00920
920,RGI60-11.00921
921,RGI60-11.00922
922,RGI60-11.00923
923,RGI60-11.00924
924,RGI60-11.00925
925,RGI60-11.00926
926,RGI60-11.00927
927,RGI60-11.00928
928,RGI60-11.00929
929,RGI60-11.00930
930,RGI60-11.00931
931,RGI60-11.00932
932,RGI60-11.00933
933,RGI60-11.00934
934,RGI60-11.00935
935,RGI60-11.00936
936,RGI60-11.00937
937,RGI60-11.00938
938,RGI60-11.00939
939,RGI60-11.00940
940,RGI60-11.00941
941,RGI60-11.00942
942,RGI60-11.00943
943,RGI60-11.00944
944,RGI60-11.00945
945,RGI60-11.00946
946,RGI60-11.00947
947,RGI60-11.00948
948,RGI60-11.00949
949,RGI60-11.00950
950,RGI60-11.00951
951,RGI60-11.00952
952,RGI60-11.00953
953,RGI60-11.00954
954,RGI60-11.00955
955,RGI60-11.00956
956,RGI60-11.00957
957,RGI60-11.00958
958,RGI60-11.00959
959,RGI60-11.00960
960,RGI60-11.00961
961,RGI60-11.00962
962,RGI60-11.00963
963,RGI60-11.00964
964,RGI60-11.00965
965,RGI60-11.00966
966,RGI60-11.00967
967,RGI60-11.00968
968,RGI60-11.00969
969,RGI60-11.00970
970,RGI60-11.00971
971,RGI60-11.00972
972,RGI60-11.00973
973,RGI60-11.00974
974,RGI60-11.00975
975,RGI60-11.00976
976,RGI60-11.00977
977,RGI60-11.00978
978,RGI60-11.00979
979,RGI60-11.00980
980,RGI60-11.00981
981,RGI60-11.00982
982,RGI60-11.00983
983,RGI60-11.00984
984,RGI60-11.00985
985,RGI60-11.00986
986,RGI60-11.00987
987,RGI60-11.00988
988,RGI60-11.00989
989,RGI60-11.00990
990,RGI60-11.00991
991,RGI60-11.00992
992,RGI60-11.00993
993,RGI60-11.00994
994,RGI60-11.00995
995,RGI60-11.00996
996,RGI60-11.00997
997,RGI60-11.00998
998,RGI60-11.00999
999,RGI60-11.01000
1000,RGI60-11.01001
1001,RGI60-11.01002
1002,RGI60-11.01003
1003,RGI60-11.01004
1004,RGI60-11.01005
1005,RGI60-11.01006
1006,RGI60-11.01007
1007,RGI60-11.01008
1008,RGI60-11.01009
1009,RGI60-11.01010
1010,RGI60-11.01011
1011,RGI60-11.01012
1012,RGI60-11.01013
1013,RGI60-11.01014
1014,RGI60-11.01015
1015,RGI60-11.01016
1016,RGI60-11.01017
1017,RGI60-11.01018
1018,RGI60-11.01019
1019,RGI60-11.01020
1020,RGI60-11.01021
1021,RGI60-11.01022
1022,RGI60-11.01023
1023,RGI60-11.01024
1024,RGI60-11.01025
1025,RGI60-11.01026
1026,RGI60-11.01027
1027,RGI60-11.01028
1028,RGI60-11.01029
1029,RGI60-11.01030
1030,RGI60-11.01031
1031,RGI60-11.01032
1032,RGI60-11.01033
1033,RGI60-11.01034
1034,RGI60-11.01035
1035,RGI60-11.01036
1036,RGI60-11.01037
1037,RGI60-11.01038
1038,RGI60-11.01039
1039,RGI60-11.01040
1040,RGI60-11.01041
1041,RGI60-11.01042
1042,RGI60-11.01043
1043,RGI60-11.01044
1044,RGI60-11.01045
1045,RGI60-11.01046
1046,RGI60-11.01047
1047,RGI60-11.01048
1048,RGI60-11.01049
1049,RGI60-11.01050
1050,RGI60-11.01051
1051,RGI60-11.01052
1052,RGI60-11.01053
1053,RGI60-11.01054
1054,RGI60-11.01055
1055,RGI60-11.01056
1056,RGI60-11.01057
1057,RGI60-11.01058
1058,RGI60-11.01059
1059,RGI60-11.01060
1060,RGI60-11.01061
1061,RGI60-11.01062
1062,RGI60-11.01063
1063,RGI60-11.01064
1064,RGI60-11.01065
1065,RGI60-11.01066
1066,RGI60-11.01067
1067,RGI60-11.01068
1068,RGI60-11.01069
1069,RGI60-11.01070
1070,RGI60-11.01071
1071,RGI60-11.01072
1072,RGI60-11.01073
1073,RGI60-11.01074
1074,RGI60-11.01075
1075,RGI60-11.01076
1076,RGI60-11.01077
1077,RGI60-11.01078
1078,RGI60-11.01079
1079,RGI60-11.01080
1080,RGI60-11.01081
1081,RGI60-11.01082
1082,RGI60-11.01083
1083,RGI60-11.01084
1084,RGI60-11.01085
1085,RGI60-11.01086
1086,RGI60-11.01087
1087,RGI60-11.01088
1088,RGI60-11.01089
1089,RGI60-11.01090
1090,RGI60-11.01091
1091,RGI60-11.01092
1092,RGI60-11.01093
1093,RGI60-11.01094
1094,RGI60-11.01095
1095,RGI60-11.01096
1096,RGI60-11.01097
1097,RGI60-11.01098
1098,RGI60-11.01099
1099,RGI60-11.01100
1100,RGI60-11.01101
1101,RGI60-11.01102
1102,RGI60-11.01103
1103,RGI60-11.01104
1104,RGI60-11.01105
1105,RGI60-11.01106
1106,RGI60-11.01107
1107,RGI60-11.01108
1108,RGI60-11.01109
1109,RGI60-11.01110
1110,RGI60-11.01111
1111,RGI60-11.01112
1112,RGI60-11.01113
1113,RGI60-11.01114
1114,RGI60-11.01115
1115,RGI60-11.01116
1116,RGI60-11.01117
1117,RGI60-11.01118
1118,RGI60-11.01119
1119,RGI60-11.01120
1120,RGI60-11.01121
1121,RGI60-11.01122
1122,RGI60-11.01123
1123,RGI60-11.01124
1124,RGI60-11.01125
1125,RGI60-11.01126
1126,RGI60-11.01127
1127,RGI60-11.01128
1128,RGI60-11.01129
1129,RGI60-11.01130
1130,RGI60-11.01131
1131,RGI60-11.01132
1132,RGI60-11.01133
1133,RGI60-11.01134
1134,RGI60-11.01135
1135,RGI60-11.01136
1136,RGI60-11.01137
1137,RGI60-11.01138
1138,RGI60-11.01139
1139,RGI60-11.01140
1140,RGI60-11.01141
1141,RGI60-11.01142
1142,RGI60-11.01143
1143,RGI60-11.01144
1144,RGI60-11.01145
1145,RGI60-11.01146
1146,RGI60-11.01147
1147,RGI60-11.01148
1148,RGI60-11.01149
1149,RGI60-11.01150
1150,RGI60-11.01151
